index,axis-0,axis-1,axis-2
0.0,31.0,156.386681356267,113.13222986714425
1.0,31.0,72.5618935833403,111.70177273791339
2.0,31.0,97.16575620611059,161.19558940930017
3.0,31.0,140.93774436057402,189.23254914222446
4.0,31.0,201.3030352141151,174.64188642406998
5.0,31.0,242.50020053596305,133.15862967637588
6.0,31.0,222.18770930088525,79.65953304314277
7.0,31.0,182.13490968242195,49.61993332929532
8.0,31.0,137.7907386762662,41.037190553910335
9.0,31.0,29.648179706415352,81.9482644499121
10.0,31.0,10.193962748876046,150.32411522714585
11.0,31.0,46.527573831339154,228.14098305730306
12.0,31.0,146.9456643033435,244.16210290468837
13.0,31.0,45.09711670210832,181.2219892185318
14.0,31.0,13.340968433183871,25.016070706525028
